poestte	'pus-t@
tussenlaste	'tY-s@-lAs-t@
rondgraaide	'rOnt-xraj-d@
herwon	hEr-'wOn
opbakte	'O-bAk-t@
sleepvoette	'slep-fu-t@
achteruitstak	Ax-t@r-'Y+t-stAk
demoraliseerde	de-mo-ra-li-'zer-d@
opwerkte	'Op-wErk-t@
knoeide	'knuj-d@
formatteerde	fOr-mA-'ter-d@
glarieoogde	'xla-ri-oG-d@
bevredigde	b@-'vre-d@G-d@
meepikte	'me-pIk-t@
vaardigde	'var-d@G-d@
overseinde	'o-v@r-sE+n-d@
forceerde	fOr-'ser-d@
bejubelde	b@-'jy-b@l-d@
naklonk	'na-klONk
spaande	'span-d@
lobde	'lOb-d@
flopte	'flOp-t@
freesde	'frez-d@
beroemde	b@-'rum-d@
monoftongeerde	mo-nOf-tON-'Ger-d@
uitventte	'Y+t-fEn-t@
achtervoegde	'Ax-t@r-vuG-d@
afbeeldde	'Av-bel-d@
professionaliseerde	pro-fE-So-na-li-'zer-d@
klaarlag	'klar-lAx
biljartte	bIl-'jAr-t@
koerste	'kurs-t@
afkrabde	'Af-krAb-d@
bekorstte	b@-'kOrs-t@
ramsjte	'rAmS-t@
snoefde	'snuv-d@
terugschrikte	t@-'rYx-sxrIk-t@
doorglom	'dor-xlOm
kantrechtte	'kAnt-rEx-t@
aanklemde	'aN-klEm-d@
saste	'sAs-t@
paraisseerde	pa-rE-'ser-d@
daguerreotypeerde	da-gE-re-jo-ti-'per-d@
volpropte	'vOl-prOp-t@
stukeerde	sty-'ker-d@
inpompte	'Im-pOmp-t@
afschilferde	'Af-sxIl-f@r-d@
woei	'wuj
beitelde	'bE+-t@l-d@
prefabriceerde	pre-fA-bri-'ser-d@
verslijmde	v@r-'slE+m-d@
walmde	'wAlm-d@
sijfelde	'sE+-f@l-d@
linieerde	li-ni-'jer-d@
omwrong	'Om-wrON
uitvroeg	'Y+t-frux
voordroeg	'vor-drux
focusseerde	fo-kY-'ser-d@
tenniste	'tE-n@s-t@
parodieerde	pa-ro-di-'jer-d@
rescribeerde	re-skri-'ber-d@
afschilderde	'Af-sxIl-d@r-d@
opgroef	'Op-xruf
dedramatiseerde	dEt-ra-ma-ti-'zer-d@
composteerde	kOm-pOs-'ter-d@
bemoeilijkte	b@-'muj-l@k-t@
opwaardeerde	'Op-war-der-d@
opschrok	'Op-sxrOk
verboemelde	v@r-'bu-m@l-d@
aframmelde	'Af-rA-m@l-d@
slootte	'slo-t@
toewierp	'tu-wirp
afbracht	'Av-brAxt
beboterde	b@-'bo-t@r-d@
knip	'knIp
smoezelde	'smu-z@l-d@
puzzelde	'pY-z@l-d@
aaneendeed	an-'en-det
overstuurde	'o-v@r-styr-d@
rekwireerde	re-kwi-'rer-d@
aanspoorde	'an-spor-d@
collectiviseerde	kO-lEk-ti-vi-'zer-d@
vaneentrok	vAn-'en-trOk
karweide	kAr-'wE+-d@
opkwam	'Op-kwAm
bekribde	b@-'krIb-d@
martelde	'mAr-t@l-d@
uitsmeet	'Y+t-smet
omrasterde	Om-'rAs-t@r-d@
specifieerde	spe-si-fi-'jer-d@
afgroef	'Af-xruf
vastzat	'vAst-sAt
ontmagnetiseerde	Ont-mAG-ne-ti-'zer-d@
kukelde	'ky-k@l-d@
ropte	'rOp-t@
ontbeet	Ond-'bet
versoepelde	v@r-'su-p@l-d@
tegenpruttelde	'te-G@-prY-t@l-d@
voorvoegde	'vor-vuG-d@
omknelde	Om-'knEl-d@
pijpte	'pE+p-t@
nawees	'na-wes
kneusde	'kn2z-d@
intoomde	'In-tom-d@
afstuurde	'Af-styr-d@
beende	'ben-d@
uitbakte	'Y+d-bAk-t@
reidanste	'rE+-dAns-t@
traanoogde	'tran-oG-d@
afknutselde	'Af-knYt-s@l-d@
ombracht	'Om-brAxt
bekneep	b@-'knep
afkraakte	'Af-krak-t@
toespitste	'tu-spIts-t@
verabsoluteerde	v@r-Ap-so-ly-'ter-d@
smeedde	'sme-d@
rojemde	'ro-j@m-d@
grijnde	'xrE+n-d@
afschreef	'Af-sxref
verdwaalde	v@r-'dwal-d@
overeenbracht	o-v@r-'em-brAxt
spolieerde	spo-li-'jer-d@
discuteerde	dIs-ky-'ter-d@
gireerde	xi-'rer-d@
meerde	'mer-d@
ontstemde	Ont-'stEm-d@
saboteerde	sA-bo-'ter-d@
absenteerde	Ap-sEn-'ter-d@
oproeide	'Op-ruj-d@
speculeerde	spe-ky-'ler-d@
enterde	'En-t@r-d@
nareisde	'na-rE+z-d@
leewiekte	'le-wik-t@
begrensde	b@-'GrEnz-d@
instelde	'In-stEl-d@
verhulde	v@r-'hYl-d@
zegge	'zE-G@
beschoor	b@-'sxor
opzoog	'Op-sox
beschoot	b@-'sxot
afleerde	'Af-ler-d@
afwaggelde	'Af-wA-G@l-d@
uitkoos	'Y+t-kos
oppakte	'O-pAk-t@
opzoop	'Op-sop
doorkoos	'dor-kos
terugsloeg	t@-'rYx-slux
plebisciteerde	ple-bI-si-'ter-d@
uitdruppelde	'Y+-drY-p@l-d@
afsnoepte	'Af-snup-t@
denkte	'dENk-t@
afpende	'Af-pEn-d@
spelevaarde	'spe-l@-var-d@
binnenhaalde	'bI-n@-hal-d@
betegelde	b@-'te-G@l-d@
graeciseerde	xre-si-'zer-d@
overnam	'o-v@r-nAm
uitslorpte	'Y+t-slOrp-t@
hopste	'hOps-t@
herbezon	'hEr-b@-zOn
zoolde	'zol-d@
peesde	'pez-d@
bezwalkte	b@-'zwAlk-t@
wegzette	'wEx-sE-t@
omspoelde	'Om-spul-d@
opensperde	'o-p@-spEr-d@
zwartkeek	'zwArt-kek
sierde	'sir-d@
platschoor	'plAt-sxor
inkleedde	'IN-kle-d@
afdeinsde	'Av-dE+nz-d@
afschuimde	'Af-sxY+m-d@
inbusselde	'Im-bY-s@l-d@
afronselde	'Af-rOn-s@l-d@
rachelde	'rA-x@l-d@
bevoogdde	b@-'voG-d@
verwezenlijkte	v@r-'we-z@-l@k-t@
dichtsloeg	'dIxt-slux
deprecieerde	de-pre-'Ser-d@
slobberde	'slO-b@r-d@
mommelde	'mO-m@l-d@
beliefde	b@-'liv-d@
trieerde	tri-'jer-d@
uitsprak	'Y+t-sprAk
veresterde	v@r-'Es-t@r-d@
opzwol	'Op-swOl
bezuurde	b@-'zyr-d@
omblies	'Om-blis
aftilde	'Af-tIl-d@
greppelde	'xrE-p@l-d@
filterde	'fIl-t@r-d@
sleurde	'sl2r-d@
overvoer	'o-v@r-vur
kwatste	'kwAts-t@
overwerkte	'o-v@r-wErk-t@
kuifde	'kY+v-d@
mouilleerde	mu-'jer-d@
oploefde	'Op-luv-d@
herschoolde	'hEr-sxol-d@
terugspoelde	t@-'rYx-spul-d@
bedwong	b@-'dwON
